epoch,train_loss,val_mcc,val_f1,val_precision,val_recall,val_thr,val_prob_mean,val_prob_std
1,0.6131706331290451,0.30107611017042657,0.7192660550458715,0.6153202176642947,0.865469531939947,0.4022713601589203,0.5126006226262365,0.1835197958949701
2,0.5721172959196801,0.3340677436788352,0.6959613196814561,0.6731774415405777,0.720341477774507,0.5027143359184265,0.5079037473661829,0.20241372450230619
3,0.5584860712874169,0.3479779638431178,0.7124227865477009,0.6674382716049383,0.7639093317633205,0.4771490693092346,0.5088518745969263,0.21370363135879308
4,0.5497665849386477,0.367345712040861,0.7169127890777375,0.6805078021687384,0.7574330291433617,0.4781982898712158,0.5008387043199262,0.21806691895539598
5,0.5440416721736684,0.37290378439509564,0.7260887260887262,0.673376950176145,0.7877539005004416,0.46323588490486145,0.5083167472645052,0.22806131077645045
6,0.5382025124979954,0.37936663471327,0.7226703755215578,0.6849459530714475,0.7647924639387695,0.48874133825302124,0.5089107595111433,0.23037574768133828
7,0.5341858501527824,0.3837991190114709,0.718532214478737,0.6951018161805174,0.7435972917279953,0.49130457639694214,0.5029122377728493,0.23233390219922725
8,0.530585623254963,0.3878817745428273,0.719863208891422,0.6975973487986744,0.7435972917279953,0.4818325936794281,0.49536757273145027,0.23779892417991114
9,0.5274742350858801,0.38881500702251454,0.7232482729451571,0.6939935064935064,0.7550780100088313,0.5065948963165283,0.5236520299602135,0.23850889253768917
10,0.5249419878510868,0.38910353309294343,0.7476612199076961,0.6487012987012987,0.8822490432734766,0.3898106515407562,0.5161061924124045,0.2433097711204723
11,0.5223328623117185,0.392774233016994,0.739533651298357,0.6723681040713081,0.8216073005593171,0.4384826421737671,0.5062063115995917,0.24321490254305828
12,0.5191772644426308,0.3924034531157749,0.7431537962362103,0.664577530176416,0.8428024727700912,0.42644256353378296,0.5136125972961948,0.2467281619416985
13,0.5178288554444033,0.393086795481656,0.7341221270229837,0.6822548028311426,0.7945245805122166,0.47850075364112854,0.5219272810882094,0.24601399913777938
14,0.5165280728947883,0.39518057872219614,0.7368137056522327,0.6800298804780877,0.8039446570503386,0.4465370774269104,0.5023696709537877,0.24872597437597851
15,0.51357415376925,0.39445773156945513,0.7489969909729187,0.652325835335226,0.8793052693553135,0.353829562664032,0.4936200507343,0.2530200795979864
16,0.5125937426791471,0.3964326762698167,0.7538718131999048,0.6331799079447669,0.9314100677068001,0.2796719968318939,0.4911528357595896,0.25456874737945107
17,0.5104808380790785,0.3979833086815716,0.7450929416352529,0.6671322160148976,0.8436856049455402,0.4090258479118347,0.5021308426991232,0.25055057716021994
18,0.5091636023100685,0.4020217675573886,0.7386825698021143,0.6845013815624215,0.8021783926994407,0.4606987237930298,0.5118111108202851,0.2515466186541988
