epoch,train_loss,val_loss,val_mcc,val_auc,val_prauc,val_thr_mcc,selected_score
1,0.3532601583122027,0.4323866619513585,0.6140800429598755,0.8863336980481181,0.893333570688166,0.6787109375,0.6140800429598755
2,0.2851661325681328,0.4236606565805582,0.6171723676764103,0.8893271926735646,0.8983884793570159,0.64306640625,0.6171723676764103
3,0.2751654508975473,0.41641114537532514,0.6187908098914764,0.8915857545986119,0.9015515229293314,0.53466796875,0.6187908098914764
4,0.26566265375897435,0.41321481878940874,0.6193763174170867,0.89316439908795,0.9037941766498487,0.64208984375,0.6193763174170867
5,0.2596146397956527,0.413691534445836,0.6195112166186776,0.8936746500249422,0.9042314959506277,0.471923828125,0.6195112166186776
6,0.2567055880433262,0.41532490803645206,0.6167315740363732,0.8942184010706173,0.9052039753670406,0.54345703125,0.6167315740363732
7,0.2537234334072264,0.41913110476273757,0.6174062031160031,0.8944777862512088,0.9055250512338412,0.517578125,0.6174062031160031
8,0.25142875210483473,0.41322815188994777,0.614184002617443,0.8941446141933029,0.9059231510008301,0.55419921875,0.614184002617443
9,0.24947026062129748,0.42243968752714306,0.6133837471086383,0.8945700559471067,0.9060937609234097,0.5439453125,0.6133837471086383
10,0.24768441266352587,0.41756880283355713,0.6129068297601522,0.8948470094318208,0.9067425424666244,0.5244140625,0.6129068297601522
11,0.24587857059322962,0.4188666022740878,0.6125197351745683,0.8943343518778254,0.9063578218364685,0.4921875,0.6125197351745683
12,0.2445192444737595,0.41975830839230466,0.6123891407719011,0.8947834747429395,0.9069458780801242,0.5185546875,0.6123891407719011
13,0.24313380222509404,0.4138496472285344,0.6124159699104179,0.8943469144185816,0.9067143999802023,0.37939453125,0.6124159699104179
14,0.24173495925889157,0.42307032300875735,0.6140930982540003,0.8945603332144143,0.9071488918545968,0.302734375,0.6140930982540003
15,0.2393334565481337,0.4205870513732617,0.612112307022775,0.8941934203861254,0.9067481744144255,0.310546875,0.612112307022775
16,0.23790353890692834,0.42410067182320815,0.6124159699104179,0.8943480214624029,0.9069649446350453,0.379638671875,0.6124159699104179
17,0.23664391675207874,0.43029530002520633,0.6137227665953147,0.894208004485164,0.9067195156367098,0.325439453125,0.6137227665953147
18,0.2347373906338569,0.43492191112958467,0.6129105782178783,0.8944277767498849,0.9072485867155718,0.367919921875,0.6129105782178783
19,0.23280395803475143,0.42366538368738615,0.6089705474343121,0.893131717229048,0.9064202396680876,0.31298828125,0.6089705474343121
20,0.23131016634478427,0.42844390410643357,0.6136827620250596,0.893583728034566,0.9069207758854955,0.30517578125,0.6136827620250596
21,0.2298418290839337,0.4310488379918612,0.6140932033298745,0.8937091127804262,0.9068624823517848,0.338623046875,0.6140932033298745
22,0.22792630856580073,0.42660119441839367,0.6065319357736115,0.891703919493463,0.9046163120137832,0.34716796875,0.6065319357736115
23,0.2264986426228344,0.43973806271186244,0.6144272524482558,0.8931383113596365,0.9060594821456556,0.3505859375,0.6144272524482558
24,0.22456373952993072,0.42722127529291004,0.6050805945655398,0.892120167970315,0.9053288906407118,0.421630859375,0.6050805945655398
25,0.22317575036299112,0.4339311099969424,0.6091681667482514,0.8929160362132323,0.9065141479296945,0.344482421875,0.6091681667482514
26,0.22062143860477032,0.44348455850894636,0.6078167160419857,0.8930803600222025,0.9060295140162287,0.73583984375,0.6078167160419857
27,0.218675294429949,0.4442564959709461,0.6096149589038957,0.8922586447126721,0.9052981874315821,0.7080078125,0.6096149589038957
28,0.21781503534553073,0.4327798829628871,0.6022039394758906,0.8900393587771152,0.9033609523876553,0.473388671875,0.6022039394758906
29,0.21650848559813923,0.4375249743461609,0.6064744177132572,0.891148568553833,0.9046372992563261,0.353759765625,0.6064744177132572
30,0.21420678481607153,0.44147977232933044,0.6055800662810207,0.8914898268448692,0.9050262622838607,0.39013671875,0.6055800662810207
