epoch,train_loss,val_loss,val_mcc,val_auc,val_prauc,val_thr_mcc,selected_score
1,0.294295010442781,0.4079076670683347,0.6142693069465968,0.8963853671525273,0.9092688225798659,0.58447265625,0.6142693069465968
2,0.2727001014322338,0.40252806819402254,0.6180689865475218,0.8974366255918111,0.9103547767283242,0.61865234375,0.6180689865475218
3,0.2695622727422431,0.4010844368201036,0.6210735602046645,0.8982879422904795,0.9111911677132147,0.57421875,0.6210735602046645
4,0.2664601578570829,0.39591143681452823,0.6232981847637441,0.8992135753222027,0.9120832829777888,0.57177734375,0.6232981847637441
5,0.2628970820419859,0.39851983464681184,0.6230480264772263,0.8998845401426603,0.9129222191057509,0.5537109375,0.6230480264772263
6,0.2592814847974494,0.3983714832709386,0.6242808098340566,0.8999404699218119,0.9129458494829361,0.59521484375,0.6242808098340566
7,0.2567670693491945,0.40152621498474705,0.6242940552349701,0.8998899790970873,0.9129093430472422,0.5615234375,0.6242940552349701
8,0.25458414144445174,0.3992820725991176,0.6209573953953936,0.8992086658235164,0.9126308756173519,0.6064453125,0.6209573953953936
9,0.2530947723010979,0.4079623566224025,0.6198800013941717,0.8995116589042038,0.912725870827721,0.595703125,0.6198800013941717
10,0.25237463621219786,0.40120694728998035,0.6198625053894998,0.8987450551240438,0.9123216629306565,0.54150390625,0.6198625053894998
11,0.25090971116972444,0.4085736022545741,0.6184700308341287,0.8993055080917203,0.9127079726149102,0.485595703125,0.6184700308341287
12,0.25016773484721044,0.41296621240102327,0.6181214552181961,0.8993122947516689,0.9125953429721226,0.486328125,0.6181214552181961
13,0.24965898943419504,0.41199302902588475,0.6199835051915097,0.89921925493833,0.9126118095164655,0.53271484375,0.6199835051915097
14,0.24933542753800308,0.40477461310533375,0.6203971656557841,0.8987065011196544,0.9123396968538716,0.48681640625,0.6203971656557841
15,0.2479847283056467,0.41413230620897734,0.6202362036179864,0.8986472502090387,0.9125224932191918,0.5390625,0.6202362036179864
16,0.24813385086484474,0.4131074112195235,0.6230421939341921,0.8991291511977347,0.9126061234049446,0.513671875,0.6230421939341921
17,0.24744611049052512,0.41358132087267363,0.6213838551215987,0.8989753683712383,0.912632888977999,0.5068359375,0.6213838551215987
18,0.2468513653124913,0.40394437083831203,0.6218545813052303,0.8980006403526521,0.9116744183594271,0.50634765625,0.6218545813052303
19,0.24623268695160894,0.41599085468512315,0.622143900829033,0.89889070358507,0.9124580089243938,0.47509765625,0.622143900829033
20,0.24581386650552844,0.41015517253142136,0.6214064859321382,0.8986051344114848,0.912447875590213,0.476318359375,0.6214064859321382
21,0.24521133849526397,0.4064227846952585,0.6211113313043541,0.8976011419301414,0.9115614656393279,0.50146484375,0.6211113313043541
22,0.2445743184278507,0.42554591023004973,0.6222376939210547,0.8992054890890724,0.9126352174494505,0.50830078125,0.6222376939210547
23,0.24400007223138714,0.40976908802986145,0.6205802345282512,0.8977758623245649,0.9117992588119023,0.51318359375,0.6205802345282512
24,0.24333472697451564,0.4100314951859988,0.6190460840132788,0.8975193650843769,0.9118413720014915,0.54296875,0.6190460840132788
25,0.24313356336390618,0.42027939512179446,0.6214524621843454,0.8984178996086456,0.9119103097778496,0.53369140625,0.6214524621843454
26,0.2424355026814017,0.41058342731915987,0.6205565184156837,0.8976980804630255,0.9113227023777596,0.478515625,0.6205565184156837
27,0.24150942885639645,0.41805913815131557,0.6210179353794428,0.8983622586235345,0.9118634461773735,0.5,0.6210179353794428
28,0.24095522442666611,0.4066466230612535,0.6203927750495545,0.8970703384839429,0.9109838544655535,0.552734375,0.6203927750495545
29,0.2403469302571646,0.4174889349020444,0.6190488254577681,0.897882379193121,0.911944827606453,0.50830078125,0.6190488254577681
30,0.23958349744282145,0.4167294754431798,0.6214911679882718,0.8980039614841164,0.9115926094489998,0.474609375,0.6214911679882718
31,0.23939445673829257,0.4127289721598992,0.620718392046441,0.8964849048317746,0.9107978122744503,0.5830078125,0.620718392046441
32,0.23819251166711938,0.42248597741127014,0.6197116364863002,0.8972121363577643,0.9110193985616334,0.5126953125,0.6197116364863002
