epoch,train_loss,val_loss,val_mcc,val_auc,val_prauc,val_thr_mcc,selected_score
1,0.4337901632384499,0.4341855989052699,0.6088252371463025,0.8828240803401917,0.8860566334878258,0.63134765625,0.6088252371463025
2,0.3142021383979533,0.44311392307281494,0.6093046945870556,0.8867963942331296,0.8922255018769728,0.65869140625,0.6093046945870556
3,0.30507865179293225,0.44237203093675465,0.6099884354573363,0.889171003230065,0.8964920370038602,0.72021484375,0.6099884354573363
4,0.29453869031207397,0.4298514907176678,0.6131811949562521,0.8922967173936607,0.8997085857584967,0.65380859375,0.6131811949562521
5,0.2830847118160512,0.42546268380605257,0.6163461104857405,0.8931061589564755,0.9018038739218414,0.430908203125,0.6163461104857405
6,0.27777409243701706,0.42077019122930676,0.6172126040100429,0.8936088531160782,0.903599954811185,0.449462890625,0.6172126040100429
7,0.2737604640793092,0.428832661647063,0.6142708529553232,0.8942943057708943,0.90463600017799,0.450927734375,0.6142708529553232
8,0.27077149489138386,0.42579023654644305,0.6136532278670295,0.8944479923327107,0.9052823014711547,0.60107421875,0.6136532278670295
9,0.2679671217309366,0.42605820298194885,0.6115203145540485,0.894159679615742,0.9053139526027365,0.5888671875,0.6115203145540485
10,0.2653028538616577,0.42486432882455677,0.6138840748574671,0.8949689286491967,0.9062732910408924,0.408447265625,0.6138840748574671
11,0.2624932539345014,0.42829299431580764,0.6139138820901668,0.8951983755142701,0.9068194137805832,0.4033203125,0.6139138820901668
12,0.2596795586961331,0.4232462507027846,0.6101598353782646,0.8947351017411778,0.9068002385634275,0.4033203125,0.6101598353782646
13,0.25663148383102796,0.41374638218146104,0.6135762681404706,0.8937340453325782,0.9068003047654715,0.423583984375,0.6135762681404706
14,0.25436476699196464,0.42502743005752563,0.6148639446650889,0.894898077844626,0.9078123419647928,0.63134765625,0.6148639446650889
15,0.25180722920611354,0.42660236817139846,0.613431038600079,0.8942874228462655,0.9074428401457826,0.5673828125,0.613431038600079
16,0.24927702029742818,0.4248484969139099,0.6122491310503645,0.8943626055614415,0.9073197898481052,0.47607421875,0.6122491310503645
17,0.2473653913429468,0.42698849393771243,0.6123268059908816,0.8944661382249139,0.9073620720866591,0.37939453125,0.6123268059908816
18,0.24572245879928664,0.4428864052662483,0.6144621185832639,0.895102158966487,0.9078941292358486,0.54052734375,0.6144621185832639
19,0.24424163156216688,0.42107672874744123,0.6115921878309069,0.8931532805173956,0.9066194315809588,0.587890625,0.6115921878309069
20,0.2420054317110836,0.42502559606845564,0.6113637504978267,0.8941046162187118,0.9069345525850729,0.485595703125,0.6113637504978267
21,0.24022510957599866,0.4172445764908424,0.6124344582621781,0.8932746221466907,0.9065670634293085,0.517578125,0.6124344582621781
22,0.23865446227021736,0.4365477424401503,0.6105365941616001,0.8932202807347613,0.9065316601381591,0.5390625,0.6105365941616001
23,0.23730287575485684,0.4271390392230107,0.6078507772265465,0.8933422962168174,0.9067594143295313,0.393310546875,0.6078507772265465
24,0.2355425770920102,0.429707965025535,0.6106993271386382,0.8926556402534995,0.9062881608685817,0.5341796875,0.6106993271386382
25,0.23370260310055005,0.4298064479461083,0.6085125803685693,0.8918805651814887,0.9056568606440397,0.53857421875,0.6085125803685693
26,0.23242495113080092,0.4361953574877519,0.6098486459246244,0.8929264327986857,0.9064809642795384,0.5087890625,0.6098486459246244
27,0.22954980394627789,0.43038050027994007,0.6106883891643105,0.891779005943959,0.9059899419936176,0.51611328125,0.6106883891643105
28,0.22852975971037798,0.45612506912304807,0.6126373671126941,0.893278617130916,0.9071984269908568,0.470703125,0.6126373671126941
29,0.22718008231408526,0.43335461616516113,0.6134384789056405,0.892360300214882,0.9060258997097999,0.38671875,0.6134384789056405
30,0.2250420012981585,0.4519751232403975,0.6110871076621588,0.8925389193288503,0.9064347909827659,0.4052734375,0.6110871076621588
31,0.22421570638618846,0.4517102516614474,0.6120897146896513,0.8921625725619092,0.9065775285907478,0.51513671875,0.6120897146896513
