experiment,hidden,dropout,lr,weight_decay,batch_size,best_epoch,best_threshold,best_val_mcc,VAL_MCC,VAL_F1,VAL_Precision,VAL_Recall,VAL_Accuracy,VAL_ROC_AUC,VAL_PR_AUC,VAL_TN,VAL_FP,VAL_FN,VAL_TP
mlp2_hybrid,[128],0.3,0.001,0.0001,256,49,0.56,0.6246191032198948,0.6246191032198948,0.8176214103142384,0.8355869698832207,0.8004121283485428,0.8120836560805577,0.8931027896926712,0.9070400991488133,2523,535,678,2719
mlp2_hybrid,"[128, 64]",0.3,0.0003,0.0001,128,55,0.5,0.623986404898889,0.623986404898889,0.8181000899011089,0.8330790357033873,0.8036502796585222,0.8119287374128582,0.8850927981889918,0.8986887591480658,2511,547,667,2730
mlp2_hybrid,"[128, 64]",0.3,0.001,0.0001,256,29,0.5,0.6233779993867884,0.6233779993867884,0.8170199969929334,0.8349723417332514,0.7998233735649102,0.8114639814097598,0.8891256144333871,0.9011730352946385,2521,537,680,2717
mlp2_hybrid,[64],0.3,0.0003,0.0001,128,40,0.46,0.6230022988450916,0.6230022988450916,0.8220624908317441,0.8192982456140351,0.8248454518692965,0.8120836560805577,0.8962600786713472,0.9096257368824189,2440,618,595,2802
mlp2_hybrid,[64],0.3,0.001,0.0001,256,68,0.49,0.6227586266238553,0.6227586266238553,0.8215755437977661,0.8203698268271207,0.8227848101265823,0.8119287374128582,0.8945980208366824,0.9078572654895901,2446,612,602,2795
mlp2_hybrid,[128],0.3,0.0003,0.0001,128,32,0.5,0.6223689516464023,0.6223689516464023,0.8174876478514748,0.8318098720292505,0.8036502796585222,0.8111541440743609,0.8955863221751659,0.9095472049917583,2506,552,667,2730
mlp2_hybrid,[64],0.3,0.001,0.0001,128,23,0.39,0.62191764879835,0.62191764879835,0.8245816503173687,0.8084865629420085,0.8413305858110097,0.8116189000774593,0.8964746045110015,0.9099752585920878,2381,677,539,2858
mlp2_hybrid,"[128, 64]",0.3,0.001,0.0001,128,12,0.52,0.6217908479775679,0.6217908479775679,0.8156188753203678,0.8359085290482077,0.7962908448631145,0.8105344694035631,0.895501127933257,0.9086897888492684,2527,531,692,2705
mlp2_hybrid,[64],0.1,0.001,0.0001,128,41,0.44,0.6217226029190034,0.6217226029190034,0.8216849816849817,0.8179696616102684,0.8254342066529291,0.8114639814097598,0.8913333004749893,0.905299014639636,2434,624,593,2804
mlp2_hybrid,"[128, 64]",0.1,0.0003,0.0001,128,18,0.52,0.6216966376879657,0.6216966376879657,0.8172976208289691,0.8311016433353622,0.8039446570503386,0.810844306738962,0.8946926008849034,0.9081790363900459,2503,555,666,2731
mlp2_hybrid,[128],0.1,0.0003,0.0001,256,49,0.6,0.6214743407859376,0.6214743407859376,0.8117539026629936,0.8453936882371693,0.7806888430968502,0.8094500387296669,0.8930276069774951,0.907465694778807,2573,485,745,2652
mlp2_hybrid,[64],0.3,0.0003,0.0001,256,23,0.44,0.6213752973306987,0.6213752973306987,0.8217734855136084,0.8169915624090777,0.8266117162201942,0.8113090627420604,0.8970560913112847,0.9104601001292718,2429,629,589,2808
mlp2_hybrid,[128],0.3,0.001,0.0001,128,10,0.48000000000000004,0.6212654194465017,0.6212654194465017,0.8193127962085307,0.8244411326378539,0.8142478657639093,0.8109992254066615,0.8972578620808227,0.9103741454357656,2469,589,631,2766
mlp2_hybrid,"[128, 64]",0.1,0.0003,0.0001,256,1,0.61,0.6212556506552909,0.6212556506552909,0.8083062141639547,0.8534031413612565,0.7677362378569326,0.8083656080557707,0.8988868048655251,0.912643376926562,2610,448,789,2608
mlp2_hybrid,"[128, 64]",0.1,0.001,0.0001,128,6,0.48000000000000004,0.6205443092370844,0.6205443092370844,0.819337670017741,0.822987822987823,0.8157197527229909,0.8106893880712626,0.8970317363472136,0.9112152202861722,2462,596,626,2771
mlp2_hybrid,"[128, 64]",0.3,0.0003,0.0001,256,24,0.46,0.6202615784099271,0.6202615784099271,0.8204525418748162,0.8190085068935171,0.8219016779511333,0.8106893880712626,0.8958718913487509,0.9092837039731477,2441,617,605,2792
mlp2_hybrid,[128],0.1,0.0003,0.0001,128,9,0.56,0.6196656328563976,0.6196656328563976,0.8125285084384978,0.8402515723270441,0.7865763909331763,0.8089852827265686,0.8974384546207336,0.9109275203614839,2550,508,725,2672
mlp2_hybrid,[128],0.3,0.0003,0.0001,256,1,0.63,0.6196562328750196,0.6196562328750196,0.8056162246489859,0.856953202787919,0.7600824256697085,0.8069713400464756,0.8986441697392749,0.912591894429723,2627,431,815,2582
mlp2_hybrid,"[128, 64]",0.1,0.001,0.0001,256,6,0.46,0.6192880303746288,0.6192880303746288,0.8177091071163275,0.8254349130173965,0.810126582278481,0.8099147947327653,0.8975504104437166,0.9114731729719121,2476,582,645,2752
mlp2_hybrid,[64],0.1,0.0003,0.0001,128,4,0.39,0.6190881958657997,0.6190881958657997,0.8229001011999422,0.8085227272727272,0.8377980571092141,0.8102246320681642,0.897947405984544,0.9115819014977732,2384,674,551,2846
mlp2_hybrid,[64],0.1,0.001,0.0001,256,2,0.49,0.6187719584157444,0.6187719584157444,0.8194260485651214,0.8193054738081225,0.8195466588166029,0.8099147947327653,0.8980970975621354,0.9112279221815552,2444,614,613,2784
mlp2_hybrid,[128],0.1,0.001,0.0001,256,2,0.51,0.61873009669544,0.61873009669544,0.8182894347440071,0.8226718238619458,0.813953488372093,0.8097598760650658,0.8981113447347936,0.9111857206648541,2462,596,632,2765
mlp2_hybrid,[128],0.1,0.001,0.0001,128,18,0.56,0.6186509977239658,0.6186509977239658,0.8149038461538461,0.8321571034059527,0.7983514866058287,0.809140201394268,0.8945875761188893,0.9073943452676063,2511,547,685,2712
mlp2_hybrid,[64],0.1,0.0003,0.0001,256,6,0.43,0.6182585211954225,0.6182585211954225,0.8203627852545348,0.8153533003780169,0.8254342066529291,0.8097598760650658,0.8979113548618382,0.9116662134410405,2423,635,593,2804
